NO.,Fecha/hora,Intervalo,Temperatura interior,Humedad interior,Temperatura exterior,Humedad exterior,Presion relativa,Presion absoluta,Velocidad del viento(mph),ráfaga(mph),Direccion del viento,Punto de rocio(c°),sensacion termica(°C),Hora de lluvia(mm),24 Hour Rainfall(mm),Semana de lluvia(mm),Mes de lluvia(mm),Total de lluvia(mm)
1364,21/09/2018 16:07,5,24.7,69,24.7,68,29.97,26.42,0,0,---,18.4,24.7,0,0,0,0,0
1365,21/09/2018 16:10,5,25.1,53,25.1,51,29.78,26.23,0,0,---,14.3,25.1,0,0,0,0,0
1366,21/09/2018 16:12,5,24.7,69,24.7,68,29.97,26.42,0,0,---,18.4,24.7,0,0,0,0,0
1367,21/09/2018 16:15,5,25.1,54,25.3,53,29.78,26.23,0,0,---,15.1,25.3,0,0,0,0,0
1368,21/09/2018 16:17,5,24.7,68,24.6,67,29.97,26.42,0,0,---,18.1,24.6,0,0,0,0,0
1369,21/09/2018 16:20,5,25.1,53,25.3,50,29.77,26.22,0,0,---,14.2,25.3,0,0,0,0,0
1370,21/09/2018 16:22,5,24.7,68,24.6,67,29.97,26.43,0,0,---,18.1,24.6,0,0,0,0,0
1371,21/09/2018 16:25,5,25.1,50,25.1,46,29.77,26.22,0,0,---,12.7,25.1,0,0,0,0,0
1372,21/09/2018 16:27,5,24.7,68,24.7,67,29.98,26.43,0,0,---,18.2,24.7,0,0,0,0,0
1373,21/09/2018 16:30,5,25.1,48,25,44,29.77,26.22,0,0,---,11.9,25,0,0,0,0,0
1374,21/09/2018 16:32,5,24.7,68,24.6,68,29.97,26.42,0,0,---,18.3,24.6,0,0,0,0,0
1375,21/09/2018 16:35,5,25.1,46,24.8,44,29.76,26.21,0,0,---,11.8,24.8,0,0,0,0,0
1376,21/09/2018 16:37,5,24.7,68,24.6,68,29.97,26.43,0,0,---,18.3,24.6,0,0,0,0,0
1377,21/09/2018 16:40,5,25,46,24.2,44,29.76,26.21,0,0,---,11.2,24.2,0,0,0,0,0
1378,21/09/2018 16:42,5,24.7,68,24.6,67,29.98,26.43,0,0,---,18.1,24.6,0,0,0,0,0
1379,21/09/2018 16:45,5,24.9,46,24.2,44,29.76,26.21,0,0,---,11.2,24.2,0,0,0,0,0
1380,21/09/2018 16:47,5,24.7,68,24.6,67,29.98,26.43,0,0,---,18.1,24.6,0,0,0,0,0
1381,21/09/2018 16:50,5,24.7,46,24,44,29.76,26.21,0,0,---,11,24,0,0,0,0,0
1382,21/09/2018 16:52,5,24.7,68,24.6,67,29.98,26.44,0,0,---,18.1,24.6,0,0,0,0,0
1383,21/09/2018 16:55,5,24.7,47,23.9,45,29.75,26.2,0,0,---,11.3,23.9,0,0,0,0,0
1384,21/09/2018 16:57,5,24.7,68,24.6,67,29.98,26.44,0,0,---,18.1,24.6,0,0,0,0,0
1385,21/09/2018 17:00,5,24.6,47,23.8,46,29.75,26.2,0,0,---,11.5,23.8,0,0,0,0,0
1386,21/09/2018 17:02,5,24.7,68,24.6,67,29.99,26.44,0,0,---,18.1,24.6,0,0,0,0,0
1387,21/09/2018 17:05,5,24.6,48,23.7,46,29.75,26.2,0,0,---,11.4,23.7,0,0,0,0,0
1388,21/09/2018 17:07,5,24.7,68,24.6,67,29.99,26.45,0,0,---,18.1,24.6,0,0,0,0,0
1389,21/09/2018 17:10,5,24.6,48,23.7,46,29.75,26.2,0,0,---,11.4,23.7,0,0,0,0,0
1390,21/09/2018 17:12,5,24.7,68,24.6,67,29.99,26.45,0,0,---,18.1,24.6,0,0,0,0,0
1391,21/09/2018 17:15,5,24.5,48,23.7,46,29.75,26.2,0,0,---,11.4,23.7,0,0,0,0,0
1392,21/09/2018 17:17,5,24.8,68,24.7,67,30,26.45,0,0,---,18.2,24.7,0,0,0,0,0
1393,21/09/2018 17:20,5,24.4,48,23.7,46,29.75,26.2,0,0,---,11.4,23.7,0,0,0,0,0
1394,21/09/2018 17:22,5,24.8,68,24.7,67,30,26.46,0,0,---,18.2,24.7,0,0,0,0,0
1395,21/09/2018 17:25,5,24.4,48,23.7,46,29.75,26.2,0,0,---,11.4,23.7,0,0,0,0,0
1396,21/09/2018 17:27,5,24.9,68,24.6,66,30,26.45,0,0,---,17.9,24.6,0,0,0,0,0
1397,21/09/2018 17:30,5,24.4,48,23.6,46,29.75,26.2,0,0,---,11.3,23.6,0,0,0,0,0
1398,21/09/2018 17:32,5,24.9,67,24.6,66,30,26.45,0,0,---,17.9,24.6,0,0,0,0,0
1399,21/09/2018 17:35,5,24.4,49,23.7,48,29.74,26.19,0,0,---,12.1,23.7,0,0,0,0,0
1400,21/09/2018 17:37,5,24.9,68,24.7,68,30.01,26.46,0,0,---,18.4,24.7,0,0,0,0,0
1401,21/09/2018 17:40,5,24.5,51,23.8,52,29.74,26.19,0,0,---,13.4,23.8,0,0,0,0,0
1402,21/09/2018 17:42,5,24.9,70,24.8,71,30,26.45,0,0,---,19.2,24.8,0,0,0,0,0
1403,21/09/2018 17:45,5,24.7,52,24,52,29.74,26.19,0,0,---,13.6,24,0,0,0,0,0
1404,21/09/2018 17:47,5,24.9,71,24.8,71,30.01,26.46,0,0,---,19.2,24.8,0,0,0,0,0
1405,21/09/2018 17:50,5,24.8,53,24.2,53,29.74,26.19,0,0,---,14,24.2,0,0,0,0,0
1406,21/09/2018 17:52,5,24.9,71,24.8,72,30.01,26.46,0,0,---,19.4,24.8,0,0,0,0,0
1407,21/09/2018 17:55,5,24.9,52,24.6,51,29.74,26.19,0,0,---,13.8,24.6,0,0,0,0,0
1408,21/09/2018 17:57,5,24.9,71,24.7,71,30.01,26.46,0,0,---,19.1,24.7,0,0,0,0,0
